Time (sec)	Arena	Track	Pos. X (mm)	Pos. Y (mm)	Label
271.597	2	1	1370.24	189.678	1
271.63	2	1	1370	189.842	1
271.664	2	1	1369.97	189.844	1
271.697	2	1	1369.97	189.96	1
271.73	2	1	1369.88	190.434	1
271.764	2	1	1370.11	189.993	1
271.797	2	1	1370.03	189.83	1
271.831	2	1	1370.03	190.009	1
271.864	2	1	1370.13	189.957	1
271.898	2	1	1370.1	190.373	1
271.931	2	1	1370.02	190.098	1
271.965	2	1	1370.13	189.895	1
271.998	2	1	1370.12	189.925	1
272.032	2	1	1370.11	189.771	1
272.065	2	1	1370.29	189.501	1
272.099	2	1	1370.24	189.969	1
272.132	2	1	1370.19	190.473	1
272.166	2	1	1370.24	190.032	1
272.199	2	1	1370.1	190.416	1
272.233	2	1	1370.31	189.476	1
272.266	2	1	1370.45	189.436	1
272.3	2	1	1370.13	190.026	1
272.333	2	1	1370.03	190.011	1
272.367	2	1	1370.15	189.931	1
272.4	2	1	1370.84	190.158	1
272.434	2	1	1371.67	189.666	1
272.467	2	1	1372.04	189.393	1
272.501	2	1	1371.93	189.394	1
272.534	2	1	1372.15	189.343	1
272.568	2	1	1371.96	189.408	1
272.601	2	1	1372.35	189.1	1
272.635	2	1	1372.12	188.362	1
272.668	2	1	1371.55	187.793	1
272.702	2	1	1371.51	187.298	1
272.735	2	1	1371.77	187.344	1
272.769	2	1	1372.07	187.089	1
272.802	2	1	1372.19	186.984	1
272.836	2	1	1372.17	186.823	1
272.869	2	1	1372.5	186.825	1
272.903	2	1	1372.62	186.614	1
272.936	2	1	1372.62	186.37	1
272.97	2	1	1372.32	186.075	1
273.003	2	1	1372.61	186.105	1
273.037	2	1	1372.86	186.103	1
273.07	2	1	1373.29	185.904	1
273.104	2	1	1373.86	186.004	1
273.137	2	1	1374.47	185.596	1
273.171	2	1	1375.17	185.1	1
273.204	2	1	1375.69	184.446	1
273.238	2	1	1375.78	184.369	1
273.271	2	1	1376.3	183.794	1
273.305	2	1	1376.52	183.138	1
273.338	2	1	1376.96	182.583	1
273.372	2	1	1377.57	181.66	1
273.405	2	1	1378.47	180.757	1
273.439	2	1	1379.98	180.077	1
273.472	2	1	1380.86	179.21	1
273.506	2	1	1383	178.926	1
273.539	2	1	1383.13	179.199	1
273.573	2	1	1380.94	178.732	1
273.606	2	1	1380.64	178.497	1
273.64	2	1	1382.12	179.116	1
273.673	2	1	1383.72	179.286	1
273.707	2	1	1384.87	178.762	1
273.74	2	1	1386.61	178.577	1
273.774	2	1	1387.98	178.767	1
273.807	2	1	1388.56	178.665	1
273.841	2	1	1388.89	178.674	1
273.874	2	1	1389.26	178.999	1
273.908	2	1	1388.61	179.822	1
273.941	2	1	1386.83	181.191	1
273.975	2	1	1384.45	182.747	1
274.008	2	1	1383.79	184.13	1
274.042	2	1	1384.76	185.531	1
274.075	2	1	1386.32	187.74	1
274.109	2	1	1386.77	190.113	1
274.142	2	1	1386.46	191.184	1
274.176	2	1	1386.33	191.416	1
274.209	2	1	1385.46	192.021	1
274.242	2	1	1384	193.419	1
274.276	2	1	1383.3	193.203	1
274.309	2	1	1383.24	192.6	1
274.343	2	1	1383.45	191.362	1
274.376	2	1	1384.46	190.435	1
274.41	2	1	1385.6	189.861	1
274.443	2	1	1386.13	189.46	1
274.477	2	1	1385.77	189.559	1
274.51	2	1	1385.41	189.237	1
274.544	2	1	1384.82	189.099	1
274.577	2	1	1384.51	188.552	1
274.611	2	1	1384.27	188.18	1
274.644	2	1	1383.99	188.007	1
274.678	2	1	1383.65	187.846	1
274.711	2	1	1383.31	187.635	1
274.745	2	1	1383.13	187.399	1
274.778	2	1	1383.27	187.394	1
274.812	2	1	1383.3	187.436	1
274.845	2	1	1383.27	187.451	1
274.879	2	1	1383.03	187.422	1
274.912	2	1	1383.22	187.275	1
274.946	2	1	1382.71	187.208	1
274.979	2	1	1381.28	187.852	1
275.013	2	1	1380.38	189.148	1
275.046	2	1	1379.77	189.534	1
275.08	2	1	1378.9	189.589	1
275.113	2	1	1378.09	188.882	1
275.147	2	1	1377.79	188.747	1
