Time (sec)	Arena	Track	Current Accel (mm/s^2)	
26.6271	1	1	61.2993	
26.6606	1	1	39.3135	
26.6941	1	1	31.8261	
26.7276	1	1	14.7588	
26.7611	1	1	4.72198	
26.7946	1	1	11.8641	
26.8281	1	1	11.1256	
26.8616	1	1	13.2307	
26.8951	1	1	16.6187	
26.9285	1	1	4.53939	
26.962	1	1	3.28626	
26.9955	1	1	7.42657	
27.029	1	1	12.4147	
27.0625	1	1	5.14524	
27.096	1	1	11.0877	
27.1295	1	1	18.867	
27.163	1	1	22.9579	
27.2635	1	1	72.1752	
27.297	1	1	60.0858	
27.3305	1	1	50.4099	
27.364	1	1	34.1442	
27.3975	1	1	34.7698	
27.4309	1	1	26.2305	
27.4644	1	1	31.4005	
27.4979	1	1	28.0999	
27.5314	1	1	31.0269	
27.5649	1	1	24.7889	
27.5984	1	1	5.82005	
27.6319	1	1	16.5387	
27.6654	1	1	46.622	
27.6989	1	1	35.3443	
27.7324	1	1	38.7864	
27.7659	1	1	26.7479	
27.7994	1	1	55.3768	
27.8329	1	1	76.2392	
27.8664	1	1	125.386	
27.8999	1	1	151.871	
27.9333	1	1	170.672	
27.9668	1	1	181.824	
28.0003	1	1	168.602	
28.0338	1	1	158.915	
28.0673	1	1	175.495	
28.1008	1	1	186.623	
28.1343	1	1	167.087	
28.1678	1	1	139.634	
28.2013	1	1	100.907	
28.2348	1	1	42.4289	
28.2683	1	1	22.1505	
28.3018	1	1	54.0159	
28.3353	1	1	78.2169	
28.3688	1	1	95.0828	
28.4023	1	1	85.1609	
28.4357	1	1	88.9888	
28.4692	1	1	115.215	
28.5027	1	1	138.263	
28.5362	1	1	137.717	
28.5697	1	1	123.938	
28.6032	1	1	93.4357	
28.6367	1	1	53.0402	
28.6702	1	1	18.0118	
28.7037	1	1	11.7902	
28.7372	1	1	7.5318	
28.7707	1	1	5.35857	
28.8042	1	1	10.628	
28.8377	1	1	9.54583	
28.8712	1	1	6.10817	
28.9046	1	1	6.8923	
28.9381	1	1	5.29108	
28.9716	1	1	1.93203	
29.0051	1	1	35.4663	
29.0386	1	1	69.1684	
29.0721	1	1	92.9634	
29.1056	1	1	107.846	
29.1391	1	1	99.3507	
29.1726	1	1	92.7567	
29.2061	1	1	98.391	
29.2396	1	1	101.326	
29.2731	1	1	102.333	
29.3066	1	1	90.5447	
29.3401	1	1	85.0697	
29.3736	1	1	74.0169	
29.407	1	1	61.8815	
29.4405	1	1	41.5287	
29.474	1	1	25.8678	
29.5075	1	1	12.9789	
29.541	1	1	27.8415	
29.5745	1	1	25.3272	
29.608	1	1	18.667	
29.6415	1	1	4.71749	
29.675	1	1	4.45202	
29.7085	1	1	5.7645	
29.742	1	1	11.6457	
29.7755	1	1	15.168	
29.809	1	1	5.23883	
29.8425	1	1	7.21441	
29.876	1	1	10.4423	
29.9094	1	1	8.60902	
29.9429	1	1	1.02963	
29.9764	1	1	1.88588	
