Time (sec)	Arena	Track	Current Speed (mm/sec)	
26.0912	1	1	54.6305
26.1247	1	1	40.4459
26.1582	1	1	30.2043
26.1917	1	1	26.2731
26.2252	1	1	21.5826
26.2587	1	1	15.8463
26.2922	1	1	10.6893
26.3257	1	1	5.69837
26.3592	1	1	0
26.3927	1	1	8.03355
26.4262	1	1	12.8252
26.4596	1	1	18.8961
26.4931	1	1	21.7249
26.5266	1	1	27.6178
26.5601	1	1	32.8358
26.5936	1	1	34.0741
26.6271	1	1	34.2773
26.6606	1	1	33.1935
26.6941	1	1	33.9024
26.7276	1	1	36.2357
26.7611	1	1	36.4276
26.7946	1	1	37.2383
26.8281	1	1	37.4626
26.8616	1	1	34.6969
26.8951	1	1	34.5164
26.9285	1	1	33.5496
26.962	1	1	30.9379
26.9955	1	1	38.8425
27.029	1	1	38.7489
27.0625	1	1	38.5112
27.096	1	1	40.5817
27.1295	1	1	38.0601
27.163	1	1	37.7484
27.2635	1	1	33.7559
27.297	1	1	31.6412
27.3305	1	1	32.2843
27.364	1	1	29.3173
27.3975	1	1	24.7027
27.4309	1	1	20.1728
27.4644	1	1	4.99923
27.4979	1	1	10.5744
27.5314	1	1	14.8738
27.5649	1	1	24.5714
27.5984	1	1	21.7564
27.6319	1	1	25.4488
27.6654	1	1	21.1355
27.6989	1	1	20.3473
27.7324	1	1	19.8139
27.7659	1	1	19.3542
27.7994	1	1	22.3635
27.8329	1	1	26.82
27.8664	1	1	23.7375
27.8999	1	1	24.7799
27.9333	1	1	30.4628
27.9668	1	1	35.3218
28.0003	1	1	44.0133
28.0338	1	1	56.0907
28.0673	1	1	71.5306
28.1008	1	1	81.387
28.1343	1	1	88.41
28.1678	1	1	92.4328
28.2013	1	1	90.1279
28.2348	1	1	90.6908
28.2683	1	1	94.2721
28.3018	1	1	99.7872
28.3353	1	1	97.6182
28.3688	1	1	91.4433
28.4023	1	1	84.5699
28.4357	1	1	73.1438
28.4692	1	1	62.6279
28.5027	1	1	59.6771
28.5362	1	1	56.9732
28.5697	1	1	54.2172
28.6032	1	1	55.9002
28.6367	1	1	54.9245
28.6702	1	1	47.965
28.7037	1	1	44.2168
28.7372	1	1	42.2671
28.7707	1	1	41.63
28.8042	1	1	47.0163
28.8377	1	1	51.826
28.8712	1	1	55.3887
28.9046	1	1	54.9384
28.9381	1	1	53.9461
28.9716	1	1	52.0635
29.0051	1	1	51.6286
29.0386	1	1	51.0879
29.0721	1	1	50.42
29.1056	1	1	46.987
29.1391	1	1	44.3937
29.1726	1	1	40.8535
29.2061	1	1	32.7618
29.2396	1	1	24.0259
29.2731	1	1	18.0249
29.3066	1	1	11.5931
29.3401	1	1	14.0152
29.3736	1	1	14.7829
29.407	1	1	12.0834
29.4405	1	1	10.3632
29.474	1	1	9.29041
29.5075	1	1	10.5952
29.541	1	1	10.2026
29.5745	1	1	11.1047
29.608	1	1	7.89045
29.6415	1	1	7.33476
29.675	1	1	7.62818
29.7085	1	1	6.37667
29.742	1	1	2.82519
29.7755	1	1	4.60345
29.809	1	1	4.58084
29.8425	1	1	8.46714
29.876	1	1	7.50105
29.9094	1	1	8.27838
29.9429	1	1	5.52193
29.9764	1	1	5.00839
30.0099	1	1	5.78487
30.0434	1	1	4.43515
30.0769	1	1	3.43124
30.1104	1	1	2.91655
30.1439	1	1	2.41136
30.1774	1	1	3.84547
30.2109	1	1	4.25523
30.2444	1	1	4.18672
30.2779	1	1	5.03999
30.3114	1	1	9.80284
30.3449	1	1	12.1446
30.3784	1	1	16.4655
30.4118	1	1	18.2783
30.4453	1	1	16.9243
30.4788	1	1	17.8118
30.5123	1	1	17.5239
30.5458	1	1	17.8365
30.5793	1	1	15.8284
30.6128	1	1	16.5694
30.6463	1	1	17.7213
30.6798	1	1	17.8722
30.7133	1	1	21.4934
30.7468	1	1	31.4685
30.7803	1	1	42.8795
30.8138	1	1	46.3106
30.8473	1	1	50.0936
30.8807	1	1	49.19
30.9142	1	1	41.0747
30.9477	1	1	36.7443
30.9812	1	1	32.9377
31.0147	1	1	26.2837
31.0482	1	1	19.6277
31.1487	1	1	10.6736
31.1822	1	1	3.30872
31.2157	1	1	19.8207
31.2492	1	1	31.8731
31.2827	1	1	39.5168
31.3162	1	1	42.6151
31.3497	1	1	57.1275
31.3831	1	1	55.8842
31.4166	1	1	55.4291
31.4501	1	1	53.5876
31.4836	1	1	50.9573
31.5171	1	1	42.7574
31.5506	1	1	34.6035
31.5841	1	1	25.9277
31.6176	1	1	15.168
31.6511	1	1	12.712
31.6846	1	1	9.40934
31.7181	1	1	6.89691
31.7516	1	1	9.01321
31.7851	1	1	8.16688
31.8186	1	1	6.24765
31.8521	1	1	4.06972
31.8855	1	1	3.33377
31.919	1	1	4.47335
31.9525	1	1	3.19941
31.986	1	1	3.94013
32.0195	1	1	6.53546
32.053	1	1	8.10587
32.0865	1	1	9.94781
32.12	1	1	11.7665
32.1535	1	1	12.7167
32.187	1	1	12.6028
32.2205	1	1	14.8722
32.254	1	1	11.3559
32.2875	1	1	11.7227
32.321	1	1	10.1468
32.3545	1	1	7.90968
32.3879	1	1	8.41287
32.4214	1	1	7.67129
32.4549	1	1	7.48772
32.4884	1	1	4.57643
32.5219	1	1	4.33969
32.5554	1	1	5.10388
32.5889	1	1	4.98736
32.6224	1	1	5.47282
32.6559	1	1	5.20594
32.6894	1	1	3.07194
32.7229	1	1	1.2695
32.7564	1	1	3.78929
32.7899	1	1	2.0638
32.8234	1	1	13.2181
32.8568	1	1	5.6671
32.8903	1	1	11.6039
32.9238	1	1	24.2804
33.0243	1	1	41.7709
33.0578	1	1	54.5044
33.0913	1	1	63.0986
33.1248	1	1	73.7773
33.1583	1	1	78.7491
33.1918	1	1	80.9163
33.2253	1	1	97.5948
33.2588	1	1	97.9024
33.2923	1	1	89.6074
33.3258	1	1	88.9355
33.3592	1	1	81.5408
33.3927	1	1	72.4623
33.4262	1	1	59.0702
33.4597	1	1	46.8105
33.4932	1	1	36.4031
33.5267	1	1	26.4086
33.5602	1	1	24.162
33.5937	1	1	21.3899
33.6272	1	1	17.6665
33.6607	1	1	15.9453
33.6942	1	1	13.6186
33.7277	1	1	17.4195
33.7612	1	1	18.0573
33.7947	1	1	13.2371
33.8282	1	1	11.9578
33.8616	1	1	4.56945
33.8951	1	1	7.44518
33.9286	1	1	7.03958
33.9621	1	1	13.0442
33.9956	1	1	19.6309
34.0291	1	1	27.7283
34.0626	1	1	37.6646
34.0961	1	1	43.9618
34.1296	1	1	52.2467
34.1631	1	1	58.9171
34.1966	1	1	59.9301
34.2301	1	1	61.4224
34.2636	1	1	61.7316
34.2971	1	1	53.9459
34.3306	1	1	54.4298
34.364	1	1	51.476
34.3975	1	1	47.2517
34.431	1	1	39.3917
34.4645	1	1	26.2266
34.498	1	1	25.3218
34.5315	1	1	26.3655
34.565	1	1	30.623
34.5985	1	1	34.5186
34.632	1	1	36.8411
34.6655	1	1	36.7015
34.699	1	1	33.8892
34.7325	1	1	30.0151
34.766	1	1	24.2328
34.7995	1	1	20.3772
34.833	1	1	16.8139
34.8664	1	1	16.7535
34.8999	1	1	18.8903
34.9334	1	1	17.9401
34.9669	1	1	20.9549
35.0004	1	1	19.3271
35.0339	1	1	16.6086
35.0674	1	1	17.0242
35.1009	1	1	17.9736
35.1344	1	1	17.0049
35.1679	1	1	21.2586
35.2014	1	1	22.4178
35.2349	1	1	21.7933
35.2684	1	1	19.1978
35.3019	1	1	18.0703
35.3353	1	1	17.2056
35.3688	1	1	19.5438
35.4023	1	1	23.5966
35.4358	1	1	26.6984
35.4693	1	1	32.8261
35.5028	1	1	37.1165
35.5363	1	1	40.7317
35.5698	1	1	42.5258
35.6033	1	1	42.7172
35.6368	1	1	45.4993
35.6703	1	1	42.944
35.7038	1	1	38.7371
35.7373	1	1	30.6445
35.7708	1	1	23.5917
35.8043	1	1	12.7798
35.8377	1	1	4.94817
35.8712	1	1	16.6136
35.9047	1	1	25.8913
35.9382	1	1	34.931
35.9717	1	1	45.4515
36.0052	1	1	48.2631
36.0387	1	1	51.6213
36.0722	1	1	50.2658
36.1057	1	1	47.0977
36.1392	1	1	36.2526
36.1727	1	1	37.1226
36.2062	1	1	32.9439
36.2397	1	1	31.003
36.2732	1	1	33.1474
36.3067	1	1	37.8722
36.3401	1	1	42.1355
36.3736	1	1	45.5769
36.4071	1	1	50.0485
36.4406	1	1	48.64
36.4741	1	1	51.7085
36.5076	1	1	56.364
36.5411	1	1	63.9574
36.5746	1	1	61.6894
36.6081	1	1	58.1701
36.6416	1	1	55.132
36.6751	1	1	46.495
36.7086	1	1	38.5924
36.7421	1	1	31.6977
36.7756	1	1	25.0709
36.8091	1	1	23.1421
36.8425	1	1	30.2167
36.876	1	1	33.4571
36.9095	1	1	42.6586
36.943	1	1	47.6534
36.9765	1	1	52.1693
37.01	1	1	57.3465
37.0435	1	1	59.483
37.077	1	1	60.0797
37.1105	1	1	61.9626
37.144	1	1	62.9004
37.1775	1	1	61.4161
37.211	1	1	64.7037
37.2445	1	1	66.6024
37.278	1	1	68.161
37.3114	1	1	67.1892
37.3449	1	1	66.2776
37.3784	1	1	74.4397
37.4119	1	1	80.0441
37.4454	1	1	92.7464
37.4789	1	1	101.064
37.5124	1	1	102.635
37.5459	1	1	109.068
37.5794	1	1	114.385
37.6129	1	1	113.364
37.6464	1	1	107.022
37.6799	1	1	97.3609
37.7134	1	1	83.2265
37.7469	1	1	72.7194
37.7804	1	1	51.8289
37.8138	1	1	40.7467
